Grid ID,RPPA ID,tissue type,PRKAA2,BECN1,IGF1R,IRS1,SLC16A1,SLC16A3,MTOR,KDR,GC,CYP27B1,ALDOA,AR,ACLY,ENO1,ENO2,MAPK3,FOXO1,G6PD,LGALS1,LGALS3,GAPDH,EIF2AK4,HK2,LDHA,NFE2L2,TP53,PHGDH ,PDK1,PIK3CG,MLXIPL,NR3C1,SLC2A4,ELANE,PDK1,PFKFB2,PPARG,PDHA1,EBAG9,CDK4,CREB1,DAGLB,GSK3A,HK1,NDRG3,CD274,PFKFB3,SLC6A4,CRTC2,PGAM1,PKM,AKT1,EGFR Y1101,EGFR Y1148,MSH2,RPS6KB1,TGFB1,TALDO1
GRID-   5-R1C13,KLY-005,Group_1,3.916774,1.499232105,2.986426793,0,6.43794117,5.100344954,1.350239329,0.982881366,30.18659822,2.747563571,40.73523831,1.429334758,0.604801518,1.473021397,22.44673103,25.7089664,3.59738091,9.672265624,0,9.974008618,2.882744347,6.346801949,32.07588809,26.57903737,5.999582856,0.231424848,21.32959338,4.537370481,5.981205819,19.05715494,8.468558031,21.74071661,25.18054211,21.6252624,7.490970663,15.54824181,11.31055709,27.67588739,5.239589208,17.72827225,12.73236421,11.43315001,40.61709566,2.105130251,15.48373198,2.633393016,6.380493537,0,18.84391586,39.90117758,12.27798576,0.946144295,27.01688562,20.68927255,5.00046883,2.241399156,17.42551551
GRID-   5-R1C17,CS-006,Group_1,8.22723,2.723552036,2.89246428,0.139062007,9.121337091,7.139294042,2.08069107,0.939370551,18.19943014,3.332175687,44.82220417,0.813663178,1.221896331,1.234399009,24.35076039,41.13406813,8.848520657,3.106194724,0,23.05464853,2.303849322,11.40024715,11.08398348,17.91306812,6.902058954,0.183251032,17.59736752,5.234174172,6.673277312,20.15410047,14.74368186,15.64481483,25.04324037,25.98951959,13.0707539,15.78639353,16.39554108,35.29356177,11.59862773,51.20487682,4.815783664,19.41322556,43.81072839,3.625605506,14.17408655,1.970943157,7.482071129,0.02955646,19.32659059,42.31945772,23.41202391,1.658077512,44.74037491,44.95762334,6.36316583,2.119183261,14.9831668
GRID-   6-R1C1,TW-007,Group_1,2.508434,0.765845427,2.719882768,0.238411685,7.364560055,1.701999027,0.858777974,0.962871435,15.48826187,1.286779008,38.21953474,0.426876842,0.472933151,0.615559331,11.62694686,14.58979538,3.218624918,6.115859346,0.040725782,5.060077097,0.128416709,2.877012803,5.858820452,1.687595934,9.052839592,0.895767644,12.51281806,2.461204016,5.628726603,14.50752191,5.821162984,10.7102325,24.90738456,7.716827297,5.831027818,14.16069979,5.608167126,20.2843376,4.106135974,20.54500789,2.735299411,9.401558419,33.76135874,3.794871116,12.56860288,1.764313641,4.721513538,0.108594181,5.385610698,5.403319192,13.34128434,1.483700303,29.28006468,20.16200219,4.28679106,2.805880492,17.78626048
GRID-   6-R1C5,MEP-008,Group_1,3.919334,2.077414498,3.242775123,0.248289008,7.548737972,3.770006907,0.659654755,0.796260988,16.55066065,2.042425745,45.79733715,0.841526366,ATP Citrate Lyase CV too high,0.757126906,15.09175376,27.80527212,6.443305812,6.024026007,0.026454249,18.13782892,1.926023254,10.48893381,6.332013186,6.257104635,7.271564413,0.482722319,14.10070833,5.092965933,6.315253048,18.8592247,14.1591358,16.21500813,28.60102104,19.14397907,11.86498828,15.61481583,10.100576,26.96826498,4.22519123,29.93937468,6.419864378,14.16180182,44.29913633,4.109961894,10.41933291,2.210452496,7.601099179,0.357284093,8.640859016,36.37221964,28.21099697,1.688032546,35.82732008,24.74681788,9.089781995,1.707101064,15.87390437
GRID-   6-R1C9,JDS-009,Group_1,4.153745,1.748760067,2.775696501,0.243382071,5.88791434,2.287327842,0.764077434,0.874707301,15.57897979,1.557254354,36.31500954,0.660483806,0.459123721,0.739846043,14.84522,22.08557867,3.464775258,3.811923681,0.051280914,8.584525873,0.369061673,5.709912934,2.809691356,2.913253166,5.54929304,0.390474932,14.50151925,3.202470793,5.572410814,17.06021048,8.928510715,20.73351161,28.45338682,16.24744982,8.019076754,14.92312317,11.46691595,26.84998101,2.850345185,23.86054055,4.000520354,12.16691269,34.52410476,2.617867467,9.406975004,2.451302222,5.489066829,0.127415935,5.78130713,12.81476945,15.40134656,1.007186782,30.5570929,20.20540956,4.286378949,1.473874006,10.92547777
GRID-   6-R1C17,CS-012,Group_1,5.661251,1.112104416,2.687806162,0,5.223494778,1.123145747,0.376812213,0.564359455,15.28248799,0.840153354,33.88515772,1.423682896,0.109791742,0.37569086,11.45826885,18.65920143,2.657191561,1.958295013,0,8.863295548,0.211116643,4.817531602,2.290874703,1.438644761,5.036000033,0.101757483,11.85044401,1.773702345,4.594552562,12.1311601,8.600306906,17.278741,23.78262285,11.3980371,7.116688353,11.80560461,14.18494436,20.29196195,2.10661802,24.86043572,2.18605345,7.440473616,28.47659779,1.526238345,3.287580615,1.799963831,5.751914258,0.04384404,7.649880931,9.434444015,8.671296494,0.91614913,28.32865487,23.47533239,2.923693354,0.881173014,9.552771895
GRID-   7-R1C1,CN-013,Group_1,4.534673,13.51896085,2.854627172,0.506571954,8.990442381,2.519681736,2.483112243,0.788495415,17.665109,1.812623991,40.71145696,12.14595984,1.107917875,1.086688578,27.14287564,29.56044544,12.98066977,10.96485394,0,13.89025956,1.584010051,14.67469591,10.50014543,11.93446487,6.528766734,2.010383676,23.16435513,5.281619087,10.65391964,11.16207197,18.72516956,5.468888949,36.50384103,17.19529155,15.30596435,20.59572832,14.16883278,33.6295917,6.842569805,37.04892397,6.885893264,24.27376868,47.31174663,8.355952989,7.746303926,0,10.96887289,0,17.48989374,33.05107552,41.56300945,2.354831474,37.57234517,49.71847219,14.93839926,2.592116348,19.511563
GRID-   7-R1C5,SL-014,Group_1,8.244797,2.200281526,3.01052966,0.325667384,8.114908607,1.743791909,0.739507771,0.730982287,14.22444409,1.340223977,35.02143879,1.097578102,1.028100532,1.174676045,19.02174858,22.04170447,14.37337289,5.350534034,0,15.00368511,1.653372488,12.36146116,5.948297181,2.9798606,6.591793477,0.995318094,23.25732421,5.288524168,12.3254574,14.34147375,8.457919212,7.991410133,26.37056753,19.04772197,13.36024484,15.42503246,20.95645768,34.35285676,7.209796198,20.08632832,5.144480783,18.55759715,39.73035436,5.323489776,6.444140555,6.656309298,15.26736226,0,10.97299589,38.08804821,14.0818118,1.44240547,34.18519764,34.69224475,10.36382182,2.624972331,14.39971487
GRID-   7-R1C9,CP-015,Group_1,5.221492,2.915088765,2.726463514,0,9.250936198,2.508794663,1.017459797,0.714151237,16.23789243,1.89454136,39.31157381,13.84428313,1.146220592,1.143549685,20.68111634,38.22480097,17.94693631,5.033815586,0.067385167,13.48809363,2.852267233,13.46548631,11.24669588,7.680292474,8.198453384,0.984364653,19.47409748,4.814540175,10.70002857,23.03148407,10.56492186,15.21711158,29.17851798,39.73619525,17.45935528,17.30849424,19.07371251,40.37296048,10.01827462,36.29162937,9.501895992,37.49623588,47.20727842,11.9241824,8.054982521,5.01582211,15.99907974,0.566884874,12.45077273,35.91024448,71.61854935,2.927720346,57.1756593,59.01006008,13.11806763,3.382025501,18.61543864
GRID-   7-R1C13,MT-016,Group_1,2.91585,1.306164202,2.957014128,0.079402242,6.572430682,1.301973975,0.823233214,0.6060152,18.22746117,0.750254554,37.59067237,1.446573028,0.996618935,0.875703655,16.49624265,34.6541074,4.352134074,3.008996022,0,13.33232367,0.43228857,3.924092101,1.884938903,3.52515623,8.023167094,0.353476879,10.41767888,2.532477879,5.705488654,18.09859761,12.55067597,18.92549493,27.02483771,15.02896008,8.111993991,14.74805921,10.3234726,24.96403814,2.684633299,28.67962017,2.955438431,9.278785514,36.99250076,1.205354492,5.297777736,3.253027727,7.441928185,0.299444163,6.021589035,11.38953495,21.84647203,2.464180677,42.71887075,33.25746008,5.015647449,1.8027906,13.13835725
GRID-   7-R1C17,LL-017,Group_1,2.551375,1.529065753,3.371459589,0.198429284,6.122069905,1.547880825,0.39293799,0.426118648,13.04111546,0.957919041,62.16857254,0.632718266,0.705027023,0.569105054,12.55974257,31.34800611,2.840635642,3.717184215,0,5.756224582,GAPDH CV too high,3.922333959,8.477193855,8.720602514,5.751416327,0.97844659,13.86086005,2.219013349,7.16078982,14.47080938,6.751984589,45.11050775,23.64302169,13.13682563,6.285125227,15.34223901,7.383870657,23.20234143,2.427761888,43.14971249,2.912311929,12.41825782,68.19124841,1.401561928,12.20425718,1.009533808,6.581158387,0,10.83307603,9.962752298,26.70736324,4.283988703,45.68033405,50.72593184,4.383427114,2.68491106,25.09637962
GRID-   5-R1C15,KLY-005,Group_2,8.576374,2.454680555,3.525941135,0.334843657,7.476511671,7.083113128,2.740501819,1.442820224,23.53942716,4.7129148,40.91183554,3.6777951,2.248995791,2.458911693,29.54894469,36.1496389,7.292559865,5.342900332,0.106351394,18.62842721,3.965361141,12.56454485,34.15647237,34.34431803,5.70918889,0.385243278,24.46525723,4.616007253,6.009201871,19.58119431,9.230466477,16.65802278,26.99130068,29.46841686,11.76549541,17.52616279,11.40470063,33.23636957,12.97613707,32.14006377,12.45061114,21.14163887,39.5436775,3.822494831,12.6607346,2.070654513,7.790098021,0,20.78922637,38.03741831,21.10311757,0.891033992,34.20809355,29.1328381,7.898901184,1.811489202,12.78463105
GRID-   5-R1C19,CS-006,Group_2,9.819713,3.088999828,3.732753413,0.615459176,11.24967108,10.35024771,3.638160919,1.093963941,18.03240054,4.161108809,41.30368867,1.437149206,2.528863439,1.528007366,24.4735432,38.29816487,11.37124186,3.550180928,0,19.47732353,1.798386786,14.5571522,13.60390888,15.46587498,6.583279603,0.484625429,20.71584034,6.164865731,6.373847241,21.14789364,18.1096557,18.97479379,27.29408087,26.41419444,14.94686635,18.37596379,17.2396607,34.81889074,20.77075326,45.02721327,6.292598159,21.84974116,39.2379532,5.280479882,15.33883932,3.867421682,9.218339294,0,17.41486471,36.30325649,18.75601877,1.929498331,41.26083947,38.91013107,8.185194897,2.778107442,13.87609171
GRID-   6-R1C3,TW-007,Group_2,6.691485,3.088666997,3.123770365,0.274894983,8.958619621,5.979562636,2.748575393,1.156524717,18.74983618,2.948658486,37.93390815,0.52549233,2.526329357,1.255609823,14.93245583,34.35589003,13.40399211,7.7229363,0.059521067,14.8169281,0.903790643,12.64385665,10.71675094,7.142442589,9.851488537,4.049923379,22.27338812,5.463571617,6.795837021,17.62298755,16.07126403,11.53350151,23.93294308,20.05858538,17.76142302,16.30257793,14.42050424,35.25741981,14.99916851,39.48111809,7.732325688,26.82330759,37.96427613,6.328813675,22.32688159,3.561264148,7.84974798,0,8.57146305,22.97718928,24.61827071,3.094159402,36.17012773,41.47037813,7.303445966,2.837634164,16.67527801
GRID-   6-R1C7,MEP-008,Group_2,9.454066,2.786528097,4.074277042,0.33210624,12.61289323,6.631252176,1.927443236,1.454767303,17.86310645,4.907597027,63.32015421,1.711887174,1.732687967,0.998657204,21.12091646,32.49609825,15.62180395,5.177418,0,16.84798164,4.813589227,17.34883271,14.68681848,11.30383348,7.720029781,0.6812921,23.60006806,12.70532567,8.419780414,25.03054385,13.44392006,25.70140533,31.90869683,24.24293196,17.47004096,19.78513226,11.4757857,50.85519746,8.663122498,57.69247799,9.615380256,31.17977371,56.47634558,5.435312328,12.2247276,3.416845787,9.81609318,0.038273309,8.687024899,42.32341539,54.4894429,0.976707947,44.82976368,48.16014601,18.77169614,2.680087422,19.74305467
GRID-   6-R1C11,JDS-009,Group_2,6.875294,2.753548804,3.958428633,IRS1 Ser612 CV too high,9.814168841,5.070948277,1.91893808,0,15.90870124,3.863488834,85.99632694,0.892107204,1.886214788,0.994418916,18.63475825,45.25021365,6.014175201,4.38891282,0.094928679,12.31064578,GAPDH CV too high,16.68619353,9.221113384,3.922102777,6.526512093,0.687417066,24.50745497,4.319947065,9.795972556,25.23394429,26.30561264,34.11745071,39.21105956,41.11878966,16.57305745,20.39445521,13.79912191,72.34072385,23.52432187,89.24233738,10.08711312,43.18929674,81.1453519,5.55418668,31.59634513,1.825454874,12.64204277,0.014565923,8.90935259,45.65058196,22.2721973,1.193015829,68.23139337,72.56367699,11.43416636,2.347198461,27.71064048
GRID-   6-R1C19,CS-012,Group_2,11.44478,1.519761029,5.125346763,0.299483847,10.51000511,1.824615499,1.904655686,VEGFR_2 Tyr1175 CV too high,15.27140265,1.768492488,134.982404,10.25099786,0.74476221,0.937424364,20.69879326,38.40332091,6.120021969,4.542580448,0.239726714,6.224212058,0.214950239,12.7128915,18.02288029,3.704745339,5.418421667,0.308918242,58.79754613,3.529448201,12.39543397,20.65747526,16.7586177,41.168243,39.1927667,23.7088664,20.67557426,22.35049259,12.34290927,64.56009942,12.6568938,117.7309064,6.99036725,25.91848397,134.799597,3.675851387,6.384614669,2.277681266,15.72788771,0,16.60523271,29.08580895,15.06074891,2.196405836,88.81154197,76.63272314,5.089274078,1.969192674,33.7568189
GRID-   7-R1C3,CN-013,Group_2,5.415991,3.801655672,4.818778533,0.810163901,16.93302731,4.068370989,2.622353475,1.657212521,19.39725179,3.518317386,78.62166888,28.71220684,2.184565133,1.894807531,28.14769346,48.76645232,23.05520311,11.99651781,0.181728387,15.81744147,1.851031708,23.30173196,12.27994142,9.398406163,8.570173818,3.390442998,50.7772442,4.855005762,9.595507783,22.78670102,22.07107021,9.85831831,35.82842307,27.4359825,22.28699313,38.18381529,16.67905526,62.33882949,13.55781199,60.5985222,6.819110792,37.20367753,81.26417369,13.58129595,9.717068255,3.161857115,14.13436096,0,29.4603759,52.86822484,64.97902053,1.958704573,57.783263,98.24826944,16.88479962,3.410614407,34.62989303
GRID-   7-R1C7,SL-014,Group_2,12.61428,2.9744333,3.007407885,0.500599779,8.127442443,2.790066287,2.384713022,1.255945698,14.93422826,2.062645878,25.72092374,1.5700311,1.693916739,2.877911075,18.64521885,20.75285836,19.28338517,5.132923631,0,11.5496533,2.140024303,15.48455467,10.25605215,3.346473095,7.601913363,1.193108414,21.25279504,6.764912214,5.798134022,16.89819803,9.024310736,11.90994613,22.79582605,22.17506348,13.3930155,16.32294721,18.21470493,29.7498122,12.92210572,25.61750811,5.91865687,15.9350205,28.64730366,6.841523257,7.185200901,11.74370789,17.34543793,0.139220231,11.03562027,25.57376412,13.9982447,1.227109433,28.46123732,31.30645242,6.920022613,3.155025319,11.87085042
GRID-   7-R1C11,CP-015,Group_2,5.830412,3.848988143,3.342749341,0.228040887,11.06551699,3.465587536,2.821416405,1.069880537,16.59690774,6.278861553,30.98930552,22.72150416,3.162204049,1.294787735,20.95808389,31.07321273,21.49183352,4.83504751,0,6.656503056,2.925332403,17.6449325,16.66958891,4.98600886,8.818962362,1.130649284,21.0939271,4.369482627,5.71913993,20.91952111,9.570327258,18.72907873,22.32860044,31.07928801,15.11793475,17.14971364,14.63978709,34.75814047,14.99315751,34.31935401,9.228885262,30.22278045,34.7377915,12.03026087,8.69132358,4.350952641,9.108454364,0.265917298,8.438797499,27.3446815,42.46093935,2.916167464,34.20968091,38.50569595,12.53391428,3.744912058,12.76836061
GRID-   7-R1C15,MT-016,Group_2,6.145334,3.458191428,3.602141257,0.16000408,11.17653989,2.293423128,4.034052607,1.07188643,20.6780443,1.844513564,39.98779309,4.480959686,2.3269407,1.312186966,28.19687969,36.30783213,13.32735123,5.660595409,0.140238129,15.26537216,1.117856529,9.590938062,6.402930942,8.644332982,9.880824168,0.728421238,14.15921894,4.911849173,6.699191092,19.57591209,25.43425866,20.31693707,27.9835623,24.34947521,12.63348776,17.93238482,12.12623576,30.56907793,10.24623193,47.43070358,5.357397587,18.95014687,40.75060713,4.450778062,9.474880975,3.904727336,10.11460173,0.460748056,14.37896078,24.0123749,29.78826673,3.077636725,42.68260914,38.38761482,8.890054434,3.050949139,14.80807232
GRID-   7-R1C19,LL-017,Group_2,9.889468,2.79909299,5.029882591,0.17621099,10.808455,6.851298749,2.78993712,0.892370008,23.5706311,3.72232362,69.96699523,2.543465929,3.2801034,1.532521016,26.78216704,56.42590065,13.34554868,6.608513981,0.233169977,33.24086181,2.56662268,18.29739949,17.18935873,29.42534694,8.224566319,2.140013331,24.75103859,4.915189715,8.965123435,22.17286763,21.48987889,36.45743461,37.78771398,30.35929829,17.92150478,21.66293009,15.24487625,51.13289026,17.59245773,63.1049231,9.118471083,42.60483734,70.48280096,5.464067914,18.85896199,3.424182329,13.48539951,0,22.6374697,43.11020823,35.20546162,3.174762,45.46323283,48.00455085,11.85430055,4.471020958,24.66449795
